"id","target_year","h","ok1","ok2","hist_fcst","hist_lower","hist_upper"
69,1982,58.5,TRUE,TRUE,8.94999948246531,7.1866588354052,10.7133408906125
70,1981,6.5,TRUE,TRUE,9.3401219289237,8.55866771060928,10.0866103582602
70,1982,58.5,TRUE,TRUE,8.29871173126954,6.53659869326238,10.5424856233832
72,1981,6.5,FALSE,FALSE,NA,NA,NA
72,1982,58.5,TRUE,TRUE,8.66199280119505,7.95000641815378,9.37397918423632
74,1981,6.5,TRUE,TRUE,8.95,8.39721863068633,9.50278136931367
74,1982,58.5,TRUE,TRUE,8.3178851949369,7.41568253811701,9.2200878517568
75,1981,6.5,TRUE,TRUE,8.94997910549867,8.16181353198141,9.73812290451964
75,1982,58.5,TRUE,TRUE,7.94931145984077,6.35012179763775,9.55433633291149
76,1981,6.5,TRUE,TRUE,8.95,8.39721863068633,9.50278136931367
76,1982,58.5,TRUE,TRUE,8.95,8.39721863068633,9.50278136931367
79,1981,6.5,TRUE,TRUE,8.92563331230783,8.38632139398227,9.46494523063338
79,1982,58.5,TRUE,TRUE,8.46792341516383,7.18812561413928,9.68022667340862
80,1981,6.5,TRUE,TRUE,9.13781069606192,8.48121107300739,9.79441031911645
80,1982,58.5,TRUE,TRUE,7.75901966348515,6.75902729678847,8.75901203018183
82,1981,6.5,TRUE,TRUE,8.90519420560594,8.24425297052684,9.56907875041472
